HCID,d13C,d18O,PP_ID,location,year,Catch.Date,length,Weight_g,Diet.mean,Diet.sd,DIC.mean,DIC.sd,Salinity.mean,Salinity.sd,Growth Ring,PredCresp,PredCresp.sd,FMR,FMR.sd,Temp,PredT.sd
L10,-1.864780389,-0.758762779,Fjord,Lillesand,2000,Sep-18,85,5.17,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,NA,0.173388452,0.007876702,143.1985015,13.13323707,16.52764111,2.385666109
L12,-2.758887325,-1.574534254,Fjord,Lillesand,2000,Sep-18,68,2.6,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,3,0.22053398,0.008948862,283.2457827,59.82155901,20.41498337,2.490198882
L14,-1.027457882,-1.444151654,Fjord,Lillesand,2000,Sep-18,85,5.17,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,2,0.129346559,0.007134586,86.74656461,7.225943884,19.7800024,2.457563129
L15,-2.501989745,-1.876401262,Fjord,Lillesand,2000,Sep-18,77,3.82,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,2,0.207164046,0.008410849,222.0551711,29.44178106,21.88901074,2.482642986
L16,-1.701173885,-0.130526961,North Sea,Lillesand,2000,Sep-18,90,6.17,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,7,0.162182497,0.006752866,125.7435623,9.45952061,13.58833074,2.307203525
L17,-2.89056783,-0.518022365,Fjord,Lillesand,2000,Sep-18,128,18.26,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,4,0.227758173,0.008989398,334.0128631,87.37518164,15.45548455,2.372662856
L19,-1.476568343,-0.853839651,Fjord,Lillesand,2000,Sep-18,90,6.17,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,5,0.152940485,0.007555306,113.6131371,9.561889879,17.01255699,2.37755276
L2,-1.162121572,-0.230721014,North Sea,Lillesand,2000,Sep-18,80,4.29,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,8,0.134152106,0.006536523,91.78186914,6.847138314,14.10792061,2.337600039
L20,-2.674394672,-0.839602831,North Sea,Lillesand,2000,Sep-18,121,15.35,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,5,0.212646917,0.007353154,241.3114122,30.3351497,16.91551097,2.38011973
L21,-2.55558653,-0.717999692,North Sea,Lillesand,2000,Sep-18,120,14.97,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,11,0.206442914,0.007335818,219.0934723,24.44006869,16.38388382,2.375069925
L22,-1.677052051,0.006077631,North Sea,Lillesand,2000,Sep-18,100,8.54,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,4,0.160930005,0.006874747,124.2743946,9.698763682,13.02769617,2.339508899
L23,-2.357512751,-1.850903648,Fjord,Lillesand,2000,Sep-18,104,9.63,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,NA,0.199542408,0.00835414,199.2081543,23.19085216,21.82472497,2.465731864
L24,-3.071356156,-1.74514945,North Sea,Lillesand,2000,Sep-18,131,19.61,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,NA,0.233210224,0.007643247,380.6574383,100.0203761,21.27969389,2.473989899
L25,-1.135275712,0.311334292,North Sea,Lillesand,2000,Sep-18,143,25.69,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,7,0.132969178,0.006676037,90.35799469,6.936391096,11.5623725,2.307425958
L26,-1.650734837,-0.883451399,North Sea,Lillesand,2000,Sep-18,85,5.17,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,4,0.15941505,0.006732706,122.0625814,9.250745742,17.14133451,2.394676544
L27,-1.871032443,0.195019128,Fjord,Lillesand,2000,Sep-18,80,4.29,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,6,0.173850871,0.00789709,143.9687924,13.15819896,12.11888419,2.298790811
L28,-1.655305606,-1.273905582,Fjord,Lillesand,2000,Sep-18,92,6.6,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,2,0.162541506,0.007718659,126.4541161,11.00354058,18.96903526,2.414697388
L3,-1.791380441,-0.876884353,Fjord,Lillesand,2000,Sep-18,75,3.52,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,3,0.169577576,0.00772942,137.3297826,12.35421783,17.14363703,2.424812563
L30,-2.180782139,-1.220270962,Fjord,Lillesand,2003,Sep-19,69,2.72,-17.6,1.09,1.480434072,0.097088672,31.81916667,1.624693376,4,0.178476681,0.010205837,152.6667516,18.98041954,20.45526637,2.17343791
L31,-3.766297244,-0.626094254,Fjord,Lillesand,2003,Sep-19,97,7.77,-17.6,1.09,1.480434072,0.097088672,31.81916667,1.624693376,8,0.255896655,0.013946348,459.7025295,141.5074388,17.63599412,2.112174196
L32,-3.982701452,-0.618103412,Fjord,Lillesand,2003,Sep-19,103,9.35,-17.6,1.09,1.480434072,0.097088672,31.81916667,1.624693376,5,0.266160697,0.014740597,485.4284553,147.6168645,17.61971422,2.099257757
L33,-2.665091899,-0.555079978,North Sea,Lillesand,2003,Sep-19,102,9.07,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,7,0.211000027,0.011209898,239.769509,49.56155652,17.28327353,2.097232126
L34,-4.155062061,-0.608499373,Fjord,Lillesand,2003,Sep-19,115,13.13,-17.6,1.09,1.480434072,0.097088672,31.81916667,1.624693376,8,0.274767933,0.015030844,503.309459,132.2322197,17.55199949,2.096664
L35,-4.402619394,-0.853550234,North Sea,Lillesand,2003,Sep-19,97,7.77,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,6,0.299447265,0.015531026,399.6667838,NA,18.73031485,2.116772651
L37,-4.392728131,-0.027388741,Fjord,Lillesand,2003,Sep-19,94,7.05,-17.6,1.09,1.480434072,0.097088672,31.81916667,1.624693376,10,0.285861235,0.015700775,503.3629686,191.5776658,14.80997527,2.023020792
L38,-4.21441334,-0.32806999,North Sea,Lillesand,2003,Sep-19,120,14.97,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,7,0.29012718,0.015117746,491.1705715,67.15508658,16.24558723,2.072404432
L39,-3.531818166,-0.610964834,North Sea,Lillesand,2003,Sep-19,95,7.29,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,7,0.25525186,0.013447703,457.6067061,135.5754491,17.61397451,2.102796013
L4,-1.534951623,0.200695078,Fjord,Lillesand,2000,Sep-19,70,2.85,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,7,0.156140834,0.007512812,117.8605737,10.11916875,12.14513917,2.351608746
L40,-3.994483128,-0.54900632,North Sea,Lillesand,2003,Sep-19,88,5.76,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,14,0.278772586,0.014632019,474.0500029,132.3804259,17.23413936,2.094556795
L41,-4.415248154,-0.387013842,North Sea,Lillesand,2003,Sep-19,118,14.21,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,12,0.300097052,0.015364703,562.4054671,183.6498776,16.47928235,2.084362943
L42,-4.030720044,-0.659593652,Fjord,Lillesand,2003,Sep-19,83,4.81,-17.6,1.09,1.480434072,0.097088672,31.81916667,1.624693376,8,0.268518717,0.014652113,497.9776184,156.9809933,17.7745092,2.115018793
L43,-4.693302739,-0.613057948,North Sea,Lillesand,2003,Sep-19,104,9.63,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,NA,0.314579117,0.016270661,,NA,17.59158287,2.114242166
L44,-4.154446487,-0.796472531,North Sea,Lillesand,2003,Sep-19,135,21.51,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,9,0.286978253,0.014946196,504.1717505,121.0861338,18.46189323,2.114592278
L45,-3.368703049,-0.476399746,North Sea,Lillesand,2003,Sep-19,95,7.29,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,9,0.246807567,0.012851621,427.0099005,125.9001577,16.93482724,2.102532527
L46,-4.051640184,-0.735133646,Fjord,Lillesand,2003,Sep-19,95,7.29,-17.6,1.09,1.480434072,0.097088672,31.81916667,1.624693376,8,0.269660769,0.014630026,484.6172328,145.8361995,18.14661673,2.096777838
L47,-4.336628291,-1.232494691,Fjord,Lillesand,2003,Sep-19,100,8.54,-17.6,1.09,1.480434072,0.097088672,31.81916667,1.624693376,NA,0.283291397,0.015354421,458.66176,97.74163221,20.51107708,2.137868643
L48,-4.493679596,-0.328982378,Fjord,Lillesand,2003,Sep-19,83,4.81,-17.6,1.09,1.480434072,0.097088672,31.81916667,1.624693376,13,0.291109038,0.015759077,528.9116064,172.6158161,16.2488495,2.076586481
L49,-3.840299284,-1.0732173,North Sea,Lillesand,2003,Sep-19,151,30.37,-16.71,0.98,1.480434072,0.097088672,31.81916667,1.624693376,7,0.270820702,0.0141755,475.87039,121.9698285,19.77448897,2.137547184
L5,-1.51408519,0.077402907,North Sea,Lillesand,2000,18-Sep,85,5.17,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,8,0.152505623,0.006745625,113.0461658,8.480018192,12.7110503,2.302104423
L50,-4.531016239,-1.285589516,Fjord,Lillesand,2008,Sep-17,117,13.84,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,5,0.287209873,0.008142877,,NA,17.70245632,1.06800364
L51,-3.707785362,-0.261176953,Fjord,Lillesand,2008,Sep-17,64,2.16,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,4,0.248254435,0.007332624,512.8502555,133.4747453,12.90521787,1.040445779
L52,-3.102212339,-0.48925972,North Sea,Lillesand,2008,Sep-17,103,9.35,-16.61,0.85,1.545706652,0.089711235,29.458,0.821044944,5,0.236852863,0.010871685,391.2226271,117.8605814,13.96006777,1.036547657
L53,-2.388354551,-0.569180116,Fjord,Lillesand,2008,Sep-17,85,5.17,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,6,0.185917651,0.00592957,165.9072124,11.93503481,14.32645973,1.032057703
L54,-2.906032029,0.042023909,Fjord,Lillesand,2008,Sep-17,78,3.97,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,7,0.210298787,0.006513155,231.4886871,24.49177462,11.51829786,1.031440313
L55,-2.258987939,-0.720312041,North Sea,Lillesand,2008,Sep-17,115,13.13,-16.61,0.85,1.545706652,0.089711235,29.458,0.821044944,7,0.193929077,0.009082297,184.9643725,22.32870621,15.03984947,1.041557176
L56,-2.9508491,-0.010055351,Fjord,Lillesand,2008,Sep-17,85,5.17,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,6,0.212413468,0.00660726,239.9040438,26.84699864,11.76544435,1.028068207
L57,-2.412481709,-0.678538706,Fjord,Lillesand,2008,Sep-17,121,15.35,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,5,0.186992305,0.006033934,168.0819297,12.59225358,14.82738156,1.049956857
L58,-2.255365604,0.02015754,North Sea,Lillesand,2008,Sep-17,98,8.02,-16.61,0.85,1.545706652,0.089711235,29.458,0.821044944,7,0.193603504,0.009251311,184.0384704,22.51260486,11.62960037,1.018721384
L59,-2.713590135,-0.036568901,Fjord,Lillesand,2008,Sep-17,80,4.29,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,7,0.201263478,0.006318223,202.230247,17.97700123,11.86574586,1.028805832
L6,-1.698343017,-0.64159201,North Sea,Lillesand,2000,Sep-17,76,3.67,-16.37,0.48,1.426739363,0.127481304,30.49670588,1.85831382,12,0.161916523,0.006851643,125.4518827,9.646614438,15.97652139,2.361994909
L60,-2.479372243,-0.115631264,Fjord,Lillesand,2008,Sep-17,66,2.37,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,6,0.190167746,0.006073226,175.0851379,13.5302772,12.25603773,1.03435579
L61,-3.025193546,0.655800493,Fjord,Lillesand,2008,Sep-17,66,2.37,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,4,0.215897852,0.006608984,255.0399045,31.73665946,8.780857991,1.014278143
L62,-3.546263221,-0.72453901,Fjord,Lillesand,2008,Sep-17,84,4.99,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,4,0.240686032,0.007127138,455.4208757,124.0997719,15.05152673,1.056664272
L63,-2.241902576,-0.845466759,Fjord,Lillesand,2008,Sep-17,122,15.75,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,7,0.178817312,0.005872406,152.3832416,10.63290962,15.612,1.055417423
L64,-3.580621497,-1.070141763,North Sea,Lillesand,2008,Sep-17,142,25.14,-16.61,0.85,1.545706652,0.089711235,29.458,0.821044944,5,0.261233634,0.011831366,485.6123961,129.9086138,16.66310127,1.058299734
L66,-3.585360892,-1.032846581,Fjord,Lillesand,2008,Sep-17,107,10.51,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,7,0.2425328,0.007096629,474.6194261,126.4938539,16.49235291,1.055721954
L68,-3.386816569,-1.392318137,Fjord,Lillesand,2008,Sep-17,118,14.21,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,2,0.233111364,0.007029067,381.7039983,95.13963716,18.18811895,1.083557739
L69,-3.393102866,-1.311838994,Fjord,Lillesand,2008,Sep-17,107,10.51,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,5,0.233292093,0.007034748,382.5135026,95.49620102,17.80209012,1.062999033
L7,-1.678355164,-0.15890373,Fjord,Lillesand,2000,Sep-18,76,3.67,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,12,0.16359659,0.007696954,128.0719845,11.18281535,13.75889938,2.337412153
L70,-3.273254959,-1.47685954,Fjord,Lillesand,2008,Sep-17,55,1.35,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,5,0.227635109,0.006988878,329.780818,69.91843407,18.57999701,1.079352867
L71,-2.301515942,0.31866202,Fjord,Lillesand,2008,Sep-17,91,6.38,-18.13,0.56,1.545706652,0.089711235,29.458,0.821044944,NA,0.181720177,0.005981149,157.6931489,11.27794767,10.27748236,1.010920426
L8,-2.016908564,-0.45777469,Fjord,Lillesand,2000,Sep-18,70,2.85,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,9,0.181384271,0.008050252,157.6841721,15.45978865,15.16391973,2.392683081
L9,-1.2898927,-1.113016166,Fjord,Lillesand,2000,Sep-18,72,3.1,-16.06,0.61,1.426739363,0.127481304,30.49670588,1.85831382,3,0.143176546,0.0073012,101.8874525,8.459200597,18.27431449,2.430350653
S10,-0.90769026,-1.713807609,Fjord,Sandefjord,2000,10-Apr,84,4.99,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,7,0.125949892,0.008658568,83.43674575,8.399678409,11.27904111,0.090863394
S11,-0.635268468,-1.708641579,North Sea,Sandefjord,2000,10-Apr,129,18.7,-16.37,0.48,1.490409552,0.16577906,22.862,0.07391211,9,0.109720398,0.008024124,68.68611572,6.969728199,11.25739611,0.092775849
S12,-2.068707163,-1.877940989,Fjord,Sandefjord,2000,10-Apr,81,4.46,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,18,0.186912134,0.009282168,169.0098123,19.61137962,12.02665239,0.091561907
S13,-0.751034608,-1.228758027,Fjord,Sandefjord,2000,10-Apr,74,3.38,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,7,0.117653846,0.008714574,75.65821398,7.943720813,9.098654089,0.090238001
S14,-1.883022615,-2.3634849,North Sea,Sandefjord,2000,10-Apr,81,4.46,-16.37,0.48,1.490409552,0.16577906,22.862,0.07391211,10,0.174348897,0.008374171,145.1401552,14.10349515,14.25741939,0.092975924
S15,-2.088551264,-1.947791497,Fjord,Sandefjord,2000,10-Apr,101,8.8,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,11,0.188003992,0.009274724,171.4184296,19.97197294,12.34576116,0.09197409
S17,-2.042385283,-2.064158422,Fjord,Sandefjord,2000,10-Apr,90,6.17,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,7,0.185610086,0.009165145,166.177259,18.91142524,12.87734867,0.092866232
S19,-0.978301522,-2.111004466,North Sea,Sandefjord,2000,10-Apr,95,7.29,-16.37,0.48,1.490409552,0.16577906,22.862,0.07391211,8,0.127693757,0.008135876,85.19304207,7.999522896,13.09188894,0.091994231
S20,-1.043887504,-1.96144759,North Sea,Sandefjord,2000,10-Apr,108,10.82,-16.37,0.48,1.490409552,0.16577906,22.862,0.07391211,8,0.130982678,0.008149392,88.45507956,8.285058692,12.40614549,0.092009921
S21,-1.557852705,-0.925396747,North Sea,Sandefjord,2000,10-Apr,83,4.81,-16.37,0.48,1.490409552,0.16577906,22.862,0.07391211,6,0.157533148,0.00812995,119.6290991,10.90085081,7.752413802,0.088819719
S22,-0.703820928,-1.252646375,Fjord,Sandefjord,2000,10-Apr,76,3.67,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,NA,0.115261177,0.008708963,73.72205407,7.904843909,9.207845809,0.091437231
S23,-1.040664718,-1.816822047,Fjord,Sandefjord,2000,10-Apr,162,37.73,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,5,0.132888232,0.008615989,90.51782669,9.115059717,11.74737798,0.09338162
S24,-1.054392274,-1.899199128,Fjord,Sandefjord,2000,10-Apr,90,6.17,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,11,0.133640209,0.008516473,91.40663203,9.035744666,12.12369546,0.093118668
S25,-3.174728764,-1.519431734,North Sea,Sandefjord,2003,Sep-25,112,12.1,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,7,0.231994203,0.013511186,349.0758131,112.518278,18.06269589,2.292288952
S27,-2.297589638,-1.420047376,North Sea,Sandefjord,2003,Sep-25,100,8.54,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,7,0.186937866,0.011556863,170.0387824,25.11310934,17.57731655,2.277130792
S29,-2.821098566,-1.603088822,North Sea,Sandefjord,2003,Sep-25,139,23.54,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,9,0.213801794,0.01269184,254.5419984,64.74670021,18.46265049,2.283207045
S3,-0.566305416,-1.688077689,North Sea,Sandefjord,2000,Sep-25,94,7.05,-16.37,0.48,1.490409552,0.16577906,22.862,0.07391211,6,0.10613877,0.008121498,65.5764163,6.777442944,11.16323136,0.091685391
S30,-2.603972629,-1.630648913,North Sea,Sandefjord,2003,Sep-25,89,5.96,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,7,0.202522728,0.012177401,210.8916299,41.35071713,18.56117662,2.314496852
S31,-2.14569973,-1.333719278,North Sea,Sandefjord,2003,Sep-25,110,11.45,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,9,0.179273001,0.011405023,154.7763435,21.12155494,17.18537591,2.239214858
S32,-2.514932283,-1.185597805,North Sea,Sandefjord,2003,Sep-25,85,5.17,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,8,0.198191751,0.012034818,197.4471531,34.50036333,16.44608975,2.263519647
S34,-3.577131027,-2.060355363,North Sea,Sandefjord,2003,Sep-25,143,25.69,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,17,0.25259239,0.014280636,436.3859905,129.6720378,20.66678913,2.324446166
S36,-3.868803026,-1.470866932,North Sea,Sandefjord,2003,Sep-25,92,6.6,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,10,0.267453646,0.01486655,488.6676398,149.4063688,17.8042693,2.251402102
S38,-4.012309693,-1.284596705,North Sea,Sandefjord,2003,Sep-25,101,8.8,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,3,0.274865682,0.015167993,476.7364943,139.7118358,16.95890689,2.290696694
S39,-1.512779,-1.531790222,Fjord,Sandefjord,2003,Sep-25,94,7.05,-17.6,1.09,1.351990823,0.164324947,28.87366667,1.760430724,NA,0.140506255,0.010278486,98.92698781,11.60777701,18.09023451,2.292620859
S4,-0.996549576,-1.877900187,North Sea,Sandefjord,2000,10-Apr,118,14.21,-16.37,0.48,1.490409552,0.16577906,22.862,0.07391211,NA,0.128399146,0.008089702,85.84889809,8.012416792,12.02503249,0.091465391
S40,-3.196027712,-1.462196299,North Sea,Sandefjord,2003,Sep-25,105,9.92,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,8,0.233341784,0.013489088,357.7558274,117.8192823,17.7744168,2.275153878
S41,-0.520645011,-1.265467633,North Sea,Sandefjord,2003,Sep-25,112,12.1,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,5,0.095841971,0.009020903,57.3779937,7.062554994,16.84710479,2.284020416
S42,0.041481018,-1.246959335,North Sea,Sandefjord,2003,Sep-25,115,13.13,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,8,0.067105966,0.008560575,36.91895775,5.595325265,16.74146188,2.284312119
S43,-2.623240508,-1.262662332,North Sea,Sandefjord,2003,Sep-25,101,8.8,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,5,0.203769604,0.012278638,214.7180555,43.03919131,16.80368309,2.281510042
S44,-1.619387114,-1.378849223,Fjord,Sandefjord,2003,Sep-25,107,10.51,-17.6,1.09,1.351990823,0.164324947,28.87366667,1.760430724,10,0.145535637,0.010458972,104.6714967,12.43421877,17.3505999,2.279048482
S45,-3.173821896,-1.083758452,North Sea,Sandefjord,2003,Sep-25,87,5.56,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,NA,0.231673786,0.013331313,345.9920162,108.3489396,15.99463478,2.241263968
S46,-0.296792532,-1.312839835,North Sea,Sandefjord,2003,Sep-25,110,11.45,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,9,0.08450268,0.008832388,48.79867486,6.424082758,17.04209742,2.294343483
S47,-3.356927319,-1.511457805,North Sea,Sandefjord,2003,Sep-25,101,8.8,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,4,0.241132526,0.013779399,389.3581379,124.2211208,17.97521833,2.288134007
S49,-4.221953259,-2.763947651,Fjord,Sandefjord,2008,Sep-25,119,14.59,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,NA,0.270692354,0.013244982,500.7799957,129.4677343,17.5261315,2.215872533
S5,-1.500261708,-1.382106821,Fjord,Sandefjord,2000,10-Apr,82,4.63,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,8,0.157156257,0.009019922,119.2640725,12.17692667,9.784949747,0.090864089
S50,-4.324012733,-2.814703009,Fjord,Sandefjord,2008,Sep-25,95,7.29,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,7,0.275805474,0.013125378,490.7836385,149.0938585,17.77448099,2.21114235
S52,-4.202725922,-2.342727613,Fjord,Sandefjord,2008,Sep-25,126,17.39,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,NA,0.269860201,0.013198321,495.855007,135.9349239,15.50043559,2.160508904
S53,-4.123278961,-2.832927351,North Sea,Sandefjord,2008,Sep-25,140,24.06,-16.61,0.85,1.499858671,0.322551646,23.935,1.697727697,8,0.286735345,0.017216138,501.0612387,144.8080393,17.85338755,2.196052772
S54,-4.911845345,-2.774006622,Fjord,Sandefjord,2008,Sep-25,122,15.75,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,8,0.303575187,0.01337071,,NA,17.55503005,2.204175085
S55,-4.013249883,-2.145012253,Fjord,Sandefjord,2008,Sep-25,125,16.97,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,8,0.260787409,0.013090732,480.2456182,133.9831207,14.61122225,2.155980806
S56,-2.776085345,-2.365076021,North Sea,Sandefjord,2008,Sep-25,148,28.55,-16.61,0.85,1.499858671,0.322551646,23.935,1.697727697,4,0.218152139,0.015992785,275.8412653,92.42689575,15.60743528,2.16710968
S57,-4.512582581,-2.376908716,Fjord,Sandefjord,2008,Sep-25,124,16.56,-18.13,0.56,1.499858671,0.322551646,23.935,1.697727697,14,0.284667871,0.013309129,547.6313747,145.9425249,15.72660177,2.16862194
S59,-2.611653261,-2.101303458,North Sea,Sandefjord,2008,Sep-25,95,7.29,-16.61,0.85,1.499858671,0.322551646,23.935,1.697727697,18,0.209604772,0.015832787,241.1305362,73.62064957,14.42313558,2.169089833
S60,-1.413377255,-1.005894497,North Sea,Sandefjord,2003,Sep-25,92,6.6,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,9,0.141663998,0.010142905,100.0108013,11.44966374,15.57406035,2.233760849
S61,-2.399408237,-0.600547204,North Sea,Sandefjord,2003,Sep-25,87,5.56,-16.71,0.98,1.351990823,0.164324947,28.87366667,1.760430724,5,0.192237086,0.011771223,181.799851,29.28123127,13.71132304,2.238641997
S8,-1.325113286,-1.609782869,Fjord,Sandefjord,2000,10-Apr,76,3.67,-16.06,0.61,1.490409552,0.16577906,22.862,0.07391211,5,0.14789809,0.008773359,107.423463,10.58995835,10.80958126,0.091182738